model,method,has_negative,negative_mass
LLaVA-1.5,VASE,True,0.49036839604377747
LLaVA-1.5,VASE,True,0.4776427149772644
LLaVA-1.5,VASE,True,0.4999954402446747
LLaVA-1.5,VASE,True,0.49728983640670776
LLaVA-1.5,VASE,True,0.49574655294418335
LLaVA-1.5,VASE,True,0.4999745786190033
LLaVA-1.5,VASE,True,0.49075862765312195
LLaVA-1.5,VASE,True,0.49999967217445374
LLaVA-1.5,VASE,True,0.49554601311683655
LLaVA-1.5,VASE,True,0.4999995529651642
LLaVA-1.5,VASE,True,0.47051525115966797
LLaVA-1.5,VASE,True,0.4982590079307556
LLaVA-1.5,VASE,True,0.48841172456741333
LLaVA-1.5,VASE,True,0.4999161660671234
LLaVA-1.5,VASE,True,0.49982497096061707
LLaVA-1.5,VASE,True,0.49486231803894043
LLaVA-1.5,VASE,True,0.49894315004348755
LLaVA-1.5,VASE,True,0.49999749660491943
LLaVA-1.5,VASE,True,0.4999004602432251
LLaVA-1.5,VASE,False,0.0
LLaVA-1.5,VASE,True,0.4997829794883728
LLaVA-1.5,VASE,True,0.49891310930252075
LLaVA-1.5,VASE,True,0.49979841709136963
LLaVA-1.5,VASE,True,0.49753421545028687
LLaVA-1.5,VASE,True,0.3814103305339813
LLaVA-1.5,VASE,True,0.49832168221473694
LLaVA-1.5,VASE,True,0.4999668002128601
LLaVA-1.5,VASE,True,0.42914825677871704
LLaVA-1.5,VASE,True,0.45413777232170105
LLaVA-1.5,VASE,True,0.043032653629779816
LLaVA-1.5,VASE,True,0.49994388222694397
LLaVA-1.5,VASE,True,0.2338540256023407
LLaVA-1.5,VASE,True,0.4999164938926697
LLaVA-1.5,VASE,True,0.4966892898082733
LLaVA-1.5,VASE,True,0.49830400943756104
LLaVA-1.5,VASE,True,0.499918133020401
LLaVA-1.5,VASE,True,0.4370843470096588
LLaVA-1.5,VASE,True,0.49999919533729553
LLaVA-1.5,VASE,True,0.20842863619327545
LLaVA-1.5,VASE,True,0.4996701180934906
LLaVA-1.5,VASE,True,0.4999881684780121
LLaVA-1.5,VASE,True,0.5000028014183044
LLaVA-1.5,VASE,True,0.4967659115791321
LLaVA-1.5,VASE,True,0.4999609887599945
LLaVA-1.5,VASE,True,0.49999406933784485
LLaVA-1.5,VASE,True,0.5000013113021851
LLaVA-1.5,VASE,True,0.07085838913917542
LLaVA-1.5,VASE,True,0.40958377718925476
LLaVA-1.5,VASE,True,0.4999510943889618
LLaVA-1.5,VASE,True,0.4999735951423645
LLaVA-1.5,VASE,True,0.49147897958755493
LLaVA-1.5,VASE,True,0.46815186738967896
LLaVA-1.5,VASE,True,0.49997377395629883
LLaVA-1.5,VASE,True,0.4999956488609314
LLaVA-1.5,VASE,True,0.4987638294696808
LLaVA-1.5,VASE,True,0.44837576150894165
LLaVA-1.5,VASE,True,0.4958619475364685
LLaVA-1.5,VASE,True,0.49555662274360657
LLaVA-1.5,VASE,True,0.49999988079071045
LLaVA-1.5,VASE,True,0.49994733929634094
LLaVA-1.5,VASE,True,0.49994438886642456
LLaVA-1.5,VASE,True,0.49711501598358154
LLaVA-1.5,VASE,True,0.49648600816726685
LLaVA-1.5,VASE,True,0.49999934434890747
LLaVA-1.5,VASE,True,0.4999881386756897
LLaVA-1.5,VASE,True,0.4999716281890869
LLaVA-1.5,VASE,True,0.4976896643638611
LLaVA-1.5,VASE,True,0.49996793270111084
LLaVA-1.5,VASE,True,0.48842093348503113
LLaVA-1.5,VASE,True,0.5000014305114746
LLaVA-1.5,VASE,True,0.49609529972076416
LLaVA-1.5,VASE,True,0.21604713797569275
LLaVA-1.5,VASE,True,0.4998018145561218
LLaVA-1.5,VASE,True,0.13629679381847382
LLaVA-1.5,VASE,True,0.4625247120857239
LLaVA-1.5,VASE,True,0.4999968111515045
LLaVA-1.5,VASE,True,0.4999755024909973
LLaVA-1.5,VASE,True,0.49750831723213196
LLaVA-1.5,VASE,True,0.1865597814321518
LLaVA-1.5,VASE,True,0.04428671672940254
LLaVA-1.5,VASE,True,0.4905577301979065
LLaVA-1.5,VASE,True,0.49998024106025696
LLaVA-1.5,VASE,True,0.4990871846675873
LLaVA-1.5,VASE,True,0.497705340385437
